0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.03 0.00 0.97
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.82 0.16 0.00 0.02 0.00
58.19 25.79 0.77 16.02 0.23
6.58 1.28 0.00 8.13 0.00
1.65 0.32 0.00 0.03 0.00
27.68 55.00 0.60 8.37 0.35
30.10 127.20 6.63 0.98 9.09
44.94 89.51 2.89 8.39 1.26
21.39 4.16 0.01 0.43 0.01
0.82 0.16 0.00 0.02 0.00
0.82 0.16 0.00 0.02 0.00
1.65 0.32 0.00 21.03 0.00
17.95 44.06 0.78 0.44 0.77
12.34 2.40 0.00 0.25 0.00
18.61 3.64 3.86 0.35 0.54
12.34 2.40 0.00 0.25 0.00
475.65 6.33 1.77 4.37 0.89
0.82 0.16 0.00 0.02 0.00
76.82 23.72 34.71 2.88 16.87
8.91 0.32 0.00 0.76 0.00
52.85 182.72 11.93 82.70 12.81
0.82 0.16 0.00 0.02 0.00
0.82 0.16 0.00 0.02 0.00
73.11 7.18 1.67 412.10 2.94
230.79 9.46 37.03 636.33 2.39
0.82 0.16 0.00 0.02 0.00
277.22 423.05 54.57 216.70 25.46
495.39 6.34 1.83 4.37 1.08
229.45 1.79 13.60 0.22 1.93
141.10 2.81 9.81 0.49 1.78
455.20 4.06 86.04 0.37 8.33
57.63 2.78 10.42 2.16 1.01
6.58 4.17 0.03 0.13 0.08
1.05 16.74 0.20 73.30 18.71
1.85 22.18 0.35 152.20 0.42
1.82 0.16 0.00 0.02 0.00
17.28 3.36 0.00 10.35 0.00
3.79 0.52 0.56 0.05 0.09
6.60 1.93 0.02 1.96 3.49
0.82 0.16 0.00 5.02 0.00
1.77 1.46 0.79 135.86 0.12
33.81 2.73 10.16 0.29 0.01
1.65 20.17 0.00 0.18 0.00
13.46 45.87 104.77 6.89 9.00
0.08 0.04 0.21 0.53 0.14
0.09 0.34 1.89 0.53 0.15
1.89 0.43 28.45 1.19 1.05
0.08 0.04 0.21 0.53 0.14
0.08 0.04 0.21 0.53 0.14
11.86 19.62 11.43 21.83 21.26
7.08 23.40 44.69 2.18 18.65
15.22 4.36 0.40 5.54 0.49
42.59 26.26 52.43 25.63 41.09
44.12 123.58 30.69 40.65 27.95
87.82 53.83 34.27 85.60 8.47
97.98 34.52 70.35 37.30 59.84
35.95 55.60 103.09 42.52 26.84
61.22 40.22 19.49 20.50 46.58
0.20 0.08 2.63 1.06 13.03
0.31 0.16 0.84 2.12 0.57
0.08 0.04 0.21 0.53 0.14
3.20 1.91 3.09 1.29 3.51
1.76 0.15 1.17 1.22 0.70
33.28 43.91 15.55 2.03 23.23
2.41 46.18 17.18 22.45 3.77
0.08 0.04 0.21 0.53 0.14
7.76 37.31 38.34 7.52 11.07
0.24 0.68 1.26 1.59 1.22
0.08 0.04 0.21 0.53 0.14
0.08 0.04 0.21 0.53 0.14
0.08 0.04 0.21 0.53 0.14
0.16 0.08 0.42 1.06 0.29
24.08 22.69 16.43 25.12 34.67
21.94 15.01 6.47 158.50 10.07
0.16 0.08 0.42 1.06 0.29
0.16 1.07 0.43 1.06 0.29
0.08 0.04 0.21 0.53 0.14
80.99 229.59 179.31 36.40 297.71
15.16 13.39 1.27 0.67 0.51
7.01 16.39 22.71 6.23 2.67
16.67 35.69 14.34 247.41 23.89
16.58 26.30 13.16 198.69 20.27
2.26 2.26 0.57 2.26 0.66
23.53 1.28 26.71 1.38 3.09
0.18 0.13 0.60 1.67 0.42
0.08 0.04 0.21 0.53 0.14
3.22 0.11 0.53 0.53 0.61
50.55 24.36 71.58 3.80 25.72
0.08 0.04 0.21 0.53 0.14
0.16 0.08 0.42 1.06 0.29
0.16 0.08 0.42 1.06 0.29
0.16 0.08 0.42 1.06 0.29
0.16 0.08 0.42 1.06 0.29
0.16 0.08 0.42 1.06 0.29
0.08 0.04 0.21 0.53 0.14
0.08 0.04 0.21 0.53 0.14
0.72 28.16 21.32 47.36 17.43
0.16 0.08 3.42 1.06 0.29
0.08 0.04 0.21 0.53 0.14
0.08 0.04 0.21 0.53 0.14
0.12 0.11 1.14 3.01 0.62
14.31 10.86 1.47 0.53 0.83
20.92 6.12 41.78 3.95 1.23
0.08 0.04 0.21 0.53 0.14
0.15 0.10 0.97 0.53 0.25
1.05 2.20 1.38 1.92 1.44
0.08 0.04 0.21 0.53 0.14
1.10 5.54 1.99 1.32 11.06
13.08 1.26 0.79 0.76 2.11
0.11 0.04 4.98 0.53 10.34
0.08 0.04 0.21 0.53 0.14
63.90 19.89 34.75 32.71 14.74
0.08 0.04 0.21 0.53 0.14
0.08 0.04 0.21 0.53 0.14
0.08 0.04 0.21 0.53 0.14
0.08 0.04 0.21 0.53 0.14
51.82 32.59 37.58 2.73 68.28
1.89 4.83 8.92 2.76 23.60
0.16 0.08 0.42 1.06 0.29
6.20 12.87 6.51 0.64 51.79
0.08 0.04 0.21 0.53 0.14
0.08 0.04 0.21 0.53 0.14
59.86 145.83 60.69 29.74 103.88
606.41 494.92 676.94 254.21 432.52
0.08 0.04 0.21 0.53 0.14
0.16 0.08 0.42 1.06 0.29
0.08 0.04 0.21 0.53 0.14
0.08 0.04 0.21 0.53 0.14
0.08 0.04 0.21 0.53 0.14
0.08 0.04 0.21 0.53 0.14
0.08 0.04 0.21 0.53 0.14
0.08 0.04 0.21 0.53 0.14
0.08 0.04 0.21 0.53 0.14
9.42 18.97 7.49 14.80 18.31
21.53 21.07 19.57 4.18 44.65
37.62 32.77 21.82 7.25 8.53
0.23 18.16 0.54 0.60 60.47
12.57 32.64 93.93 1.91 98.95
0.13 0.29 1.19 1.14 16.25
0.08 0.04 0.21 0.53 0.14
65.27 24.08 44.17 3.96 5.52
16.81 0.05 2.93 2.74 0.48
1.10 2.31 57.19 0.88 48.51
25.15 44.33 55.95 5.13 42.44
13.87 4.77 61.05 1.99 3.32
0.08 0.04 0.21 0.53 0.14
2.11 0.97 2.07 7.04 1.80
13.55 0.08 0.56 0.54 1.27
0.08 0.04 0.21 0.53 0.14
472.19 343.96 555.68 173.80 236.36
0.08 0.04 0.21 0.53 0.14
1.66 0.73 15.47 0.53 0.61
0.08 0.04 0.21 0.53 0.14
0.08 0.04 0.21 0.53 0.14
0.08 0.04 0.21 0.53 0.14
61.54 27.18 74.93 12.85 90.49
186.29 45.44 137.52 71.47 160.28
17.06 2.48 4.21 1.23 5.03
0.44 2.13 19.66 14.46 10.32
0.16 0.08 0.42 1.06 0.29
0.08 0.04 0.21 0.53 0.14
0.08 0.04 0.21 0.53 0.14
0.97 0.10 0.38 0.53 1.01
2.85 8.91 1.70 0.75 18.78
3.68 0.29 1.33 8.55 16.15
3.94 2.98 7.72 1.57 2.78
65.76 2.88 0.89 0.55 6.92
0.08 0.04 0.21 0.53 0.14
0.08 0.04 0.21 0.53 0.14
4.69 10.94 4.48 16.65 5.24
472.19 343.96 555.68 173.80 236.36
0.16 0.08 0.42 1.06 0.29
0.27 0.92 0.91 7.52 1.38
30.11 14.20 23.10 19.81 13.77
0.16 0.49 0.43 1.60 0.32
0.16 0.08 0.42 1.06 0.29
0.08 0.04 0.21 0.53 0.14
2.59 23.99 12.03 2.92 8.46
0.08 0.04 0.21 0.53 0.14
0.16 0.08 0.42 1.06 0.29
0.16 0.08 0.42 1.06 0.29
4.52 4.33 2.27 1.19 2.69
5.67 20.68 5.12 20.65 14.88
0.08 0.04 0.21 0.53 0.14
0.16 0.15 0.55 6.59 0.55
0.68 10.20 21.58 19.22 4.32
0.08 0.04 0.21 0.53 0.14
0.08 0.04 0.21 0.53 0.14
0.16 0.08 0.42 1.06 0.29
0.08 0.04 0.21 0.53 0.14
9.53 0.57 1.84 0.53 10.53
0.08 0.04 0.21 0.53 0.14
0.08 0.04 0.21 0.53 0.14
0.08 0.04 0.21 0.53 0.14
0.08 0.04 0.21 0.53 0.14
41.91 26.22 100.69 1.97 47.21
0.08 0.04 0.21 0.53 0.14
15.54 39.33 33.14 19.70 19.30
0.16 0.08 0.42 1.06 0.29
1.35 19.04 1.68 8.09 2.84
0.83 0.76 2.04 0.65 0.72
20.98 16.84 21.87 1.88 9.43
0.42 2.22 1.41 1.43 0.51
16.57 10.48 0.57 0.53 15.84
1.59 1.10 1.15 0.53 0.63
15.92 0.12 0.86 0.53 1.57
17.75 39.36 18.67 308.75 29.47
0.16 0.08 0.42 1.06 0.29
0.08 0.04 0.21 0.53 0.14
0.08 0.04 0.21 0.53 0.14
0.32 9.42 0.66 1.70 9.90
0.27 3.54 0.63 1.70 9.86
0.84 0.88 1.56 1.16 0.55
10.36 8.90 29.18 7.95 7.61
2.17 54.66 19.34 3.35 8.48
0.31 0.16 0.84 2.12 0.57
0.08 0.04 0.21 0.53 0.14
0.08 0.04 0.21 0.53 0.14
0.08 0.04 0.21 0.53 0.14
0.81 7.96 7.38 14.42 23.44
0.08 0.04 0.21 0.53 0.14
0.17 0.75 2.33 1.69 2.06
8.40 23.19 48.66 7.63 15.12
3.48 24.87 11.67 3.25 12.73
0.57 18.42 0.54 0.54 1.94
83.12 25.83 35.05 27.15 21.85
14.39 8.11 50.41 12.13 2.95
2.12 20.55 3.93 0.68 18.71
0.08 0.04 0.21 0.53 0.14
0.19 0.16 0.46 1.22 0.97
70.31 45.51 117.51 17.80 191.88
1.64 1.69 1.46 1.03 3.19
98.76 25.79 14.11 20.59 21.75
5.99 0.00 0.00 0.00 0.00
32.34 0.20 9.57 0.01 1.87
196.11 0.54 1.33 0.08 0.94
6.99 0.00 0.00 0.00 0.00
27.88 0.09 0.01 0.01 0.01
22.72 0.02 0.05 0.00 0.21
14.97 0.01 0.01 0.01 0.01
527.47 366.82 275.68 235.56 292.47
308.20 56.75 350.20 1.84 55.00
2.00 0.00 0.00 0.00 0.00
248.91 0.35 1.18 0.07 1.49
9.20 21.96 21.94 10.70 5.19
30.31 20.24 21.63 13.35 18.46
22.54 78.58 88.65 37.59 24.64
0.27 8.68 31.95 25.15 0.96
0.00 0.00 1.00 0.00 0.00
7.57 0.85 5.07 2.68 0.83
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
